Invoice No.,Date,Customer Name,Customer Id,Customer Type,Customer Type Description,Rep,CSR,Qty of Items P/Invoice, Ext. Amount,Freight Amount,Ship Via,Ship Via Description,Ship From,Ship to City,Ship to State,Int'l,Freight Comment,QUESTIONS FOR CSR
475964,43467,NEW GENERATION,NEWGEN,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,AYIN,Edwin Ma,5,438.36,0,DELIVERY,Delivery,1PW,New York,NY,,,
475965,43467,LENDY ELECTRICAL LTG SHOWROOM,LENDYEL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,5,198.8,0,DELIVERY,Delivery,1PW,New York,NY,,,
475966,43467,R. BDELAA LIGHTING INC,RBDEFOR,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,AYIN,Edwin Ma,1,144,0,DELIVERY,Delivery,1PW,Forest Hills,NY,,,
476049,43468,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,LENV,Verenis Cervantes,1,147,9.7,FEDEXG,FedEx Ground,1PW,Washington,DC,,,
475968,43467,CS ILLUMINATION,CSILENC,DESI,DESIGNER/INTERIOR DECORATOR,DENB,Dee Erdei,2,20,0,UPSG,UPS Ground,1PW,Vista,CA,,UPS ACCT # X2041R,
476109,43469,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,30,13.26,FEDEXG,FedEx Ground,1PW,New York,NY,,,
475972,43467,GRAINGER,GRAING,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,DEND,Dee Erdei,1,666,0,UPSG,UPS Ground,1PW,Minooka,IL,,UPS ACCT # 36A74E,
475973,43467,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,2,65.15,0,UPSG,UPS Ground,1PW,Cranbury,NJ,,UPS ACCT# 1Y750E,
475974,43467,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,2,131.55,0,UPSG,UPS Ground,1PW,Charleston,TN,,UPS ACCT# 1Y750E,
476253,43473,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,62.85,13.15,FEDEXG,FedEx Ground,1PW,Washington,DC,,,
475976,43467,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,7,331.84,0,FEDEXG,FedEx Ground,1PW,Florence,NJ,,FEDEX ACCT# 471163562,
476347,43474,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,CHES,Verenis Cervantes,7,2078.98,47.43,FEDEXG,FedEx Ground,1PW,Daytona Beach,FL,,,
475982,43467,GRAINGER,GRAING,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,DEND,Dee Erdei,1,1369,0,UPSG,UPS Ground,1PW,Bordentown,NJ,,UPS ACCT # 36A74E,
475983,43467,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,119.8,0,FEDEXG,FedEx Ground,2LA,Pinehurst,NC,,USE FEDEX ACCT.# 124454549,
475984,43467,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGUT,Veronica Garcia,1,6.08,0,UPSG,UPS Ground,2LA,Cairo,NY,,USE UPS ACCT#T3301T,
476382,43475,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,CHES,Verenis Cervantes,2,303.75,13.5,FEDEXG,FedEx Ground,1PW,Atlanta,GA,,,
