Invoice No.,Date,Customer Name,Customer Id,Customer Type,Customer Type,Rep,CSR,Qty of Items, Ext. Amount,Freight Amount,Ship Via,Ship Via Description,Ship From,Ship to City,Ship to State,Freight Comment
493707,43832,NORTHSTAR FURNITURE CORP,MAXSNEW,DIST,LIGHTING DISTRIBUTOR,AYIN,Edwin Ma,6,325.5,0,DELIVERY,Delivery,1PW,New York,NY,
493708,43832,CHUANG YE ELECTRICAL SUPPLY,CHUANG,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,AYIN,Edwin Ma,3,242.5,0,DELIVERY,Delivery,1PW,New York,NY,
493709,43832,R. BDELAA LIGHTING INC,RBDEFOR,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,AYIN,Edwin Ma,1,1040,0,DELIVERY,Delivery,1PW,Forest Hills,NY,
493710,43832,LUXURY LIGHTING,LUXURY,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,NYCS,Edwin Ma,1,132.76,0,DELIVERY,Delivery,1PW,Maspeth,NY,
493711,43832,HEIN ELECTRIC - WEST ALLIS,HEINES,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLAZ,Gabriel O'Reilly,3,29.45,108.73,FEDEXPO,FedEx Priority Overnight,1PW,West Bend,WI,
493712,43832,THE SOURCE GROUP,SOURGRE,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,CHES,Manny Estevez,2,1280.5,24.02,FEDEXG,FedEx Ground,1PW,Greenville,SC,
493719,43832,FSG LIGHTING - BENSENVILLE,FSGBENS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SGRO,Gabriel O'Reilly,1,3.88,11.1,FEDEXG,FedEx Ground,1PW,Bensenville,IL,
493720,43832,"STYLMARK, INC.",STYLMIN,DISM,DISPLAY RETAILER/PRODUCER - METAL,DEND,Dee Erdei,2,2690,0,UPSG,UPS Ground,1PW,Minneapolis,MN,UPS ACCT # 563392
493721,43832,IDX - DAYTON,IDXDAYT,DISW,DISPLAY RETAILER/PRODUCER - WOOD,DEND,Dee Erdei,2,1572,0,FEDEXG,FedEx Ground,1PW,Dayton,OH,FEDEX ACCT # 3453-0023-6
493722,43832,BILLOWS ELECTRIC-PLEASANTVILLE,BILLDEL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,LMLA,Gabriel O'Reilly,1,62,30.87,FEDEXG,FedEx Ground,1PW,Pleasantville,NJ,
493723,43832,FSG LIGHTING - BENSENVILLE,FSGBENS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SGRO,Gabriel O'Reilly,1,68.25,13.13,FEDEXG,FedEx Ground,1PW,Bensenville,IL,
493724,43832,FSG LIGHTING - BENSENVILLE,FSGBENS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SGRO,Gabriel O'Reilly,2,171,15.69,FEDEXG,FedEx Ground,1PW,Bensenville,IL,
493725,43832,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,131.76,0,UPSG,UPS Ground,1PW,Saugus,MA,USE UPS ACCT#T3301T
493726,43832,WAYFAIR LLC,WAYFBOS,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,47.64,0,UPSG,UPS Ground,1PW,Vinton,VA,SHIP WITH UPS ACCT#: Y36935
493732,43832,CONTINENTAL LIGHTING CORP.,CONLTG,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,1,97.76,0,PICKUP,Pick Up,1PW,Floral Park,NY,
493733,43832,"SILVER STAR INDUSTRIES, INC",SILVNOR,CABI,CABINET / WOOD MAKER,FALV,Dee Erdei,4,647.96,0,UPSN,UPS Next Day Air,1PW,North Bonneville,WA,UPS # 3F89R3
493734,43832,STANDARD ELECTRIC - WILMINGTON,STANWIL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,ESSL,Verenis Cervantes,2,0,0,FEDEXG,FedEx Ground,0NY,Wilmington,MA,
493735,43832,CHESTER SOKOLOWSKI,CHES,REP,CURRENT REP,REP,Manny Estevez,4,0,0,FEDEXG,FedEx Ground,1PW,Punta Gorda,FL,DO NOT CHARGE FREIGHT
493736,43832,COLONIAL ELECT-KING OF PRUSSIA,COLOKIN,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,LMLA,Gabriel O'Reilly,6,12026.35,63.5,FEDEXG,FedEx Ground,1PW,Salisbury,MD,
493737,43832,PLATT ELECTRIC - SALEM,PLATSAL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SOLU,Veronica Garcia,1,110,34.39,FEDEXG,FedEx Ground,1PW,Salem,OR,
493738,43832,LAMPS PLUS - INTERNET ACCOUNTS,LPLUCHA,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,JGEC,Maria Hernandez,1,59.85,15.82,FEDEXH,FedEx Home Delivery,1PW,Rosharon,TX,
